CUSTOMER_ID,First Name,Last Name,Points
20001,Owen,Hamilton,524
20002,Byron,Myers,770
20003,Rosie,Barrett,966
20004,Amelia,Bennett,966
20005,Thomas,Henderson,857
20006,Abigail,Cunningham,191
20007,Annabella,Brown,234
20008,Aiden,Riley,497
20009,Alina,Ellis,55
20010,Julia,Russell,58
20011,Gianna,Hall,14
20012,Owen,Edwards,625
20013,Amanda,Russell,263
20014,Lenny,Baker,626
20015,Valeria,Robinson,52
20016,Alexia,Kelley,260
20017,Mike,Howard,977
20018,Jacob,Taylor,383
20019,Lana,Hill,153
20020,Emma,Dixon,690
20021,Mike,Holmes,184
20022,Sawyer,Richardson,503
20023,Edith,Farrell,794
20024,Carlos,Henderson,981
20025,Richard,Douglas,594
20026,Vanessa,Murphy,496
20027,Abigail,Harrison,853
20028,James,Casey,196
20029,Miller,Warren,35
20030,Maya,Howard,437
20031,Charlotte,Sullivan,317
20032,Kevin,Hunt,856
20033,Alen,Brown,274
20034,Ned,Smith,464
20035,Joyce,Ross,111
20036,Naomi,Riley,434
20037,Daryl,Hamilton,720
20038,Antony,Cole,65
20039,Andrew,Roberts,30
20040,Alina,Harris,688
20041,Brad,Sullivan,342
20042,Michael,Evans,389
20043,Victoria,Chapman,855
20044,Aldus,Lloyd,929
20045,Catherine,Farrell,860
20046,Ada,Holmes,119
20047,Mike,Hill,654
20048,Brad,Murray,628
20049,Kevin,Adams,755
20050,James,Morris,427
20051,Honey,Clark,945
20052,Justin,Clark,327
20053,Justin,Casey,630
20054,Aida,Evans,901
20055,William,Tucker,231
20056,Fenton,Mason,785
20057,Alexander,Douglas,363
20058,Edwin,Harper,887
20059,Carlos,Bailey,549
20060,Jack,Scott,147
20061,Jessica,Miller,679
20062,Brooke,Elliott,221
20063,Byron,Hunt,952
20064,Aida,Fowler,530
20065,Alan,Warren,12
20066,Blake,Jones,493
20067,Roman,Warren,871
20068,Abraham,Hill,643
20069,Lily,Mason,71
20070,Rafael,Jones,769
20071,Michelle,Walker,145
20072,Miller,Tucker,879
20073,Jasmine,Cooper,559
20074,Martin,Payne,679
20075,Amber,Nelson,781
20076,Kelsey,Anderson,676
20077,Charlie,Harris,270
20078,Alissa,Ryan,356
20079,Sabrina,Ellis,477
20080,Samantha,Cole,470
20081,Julian,Barnes,111
20082,Dexter,Hunt,879
20083,Darcy,Bennett,497
20084,James,Craig,761
20085,Patrick,Wright,684
20086,Reid,Elliott,225
20087,Kimberly,Davis,729
20088,Jack,Williams,621
20089,Deanna,Turner,483
20090,Henry,Fowler,461
20091,Charlie,Richardson,404
20092,George,Roberts,236
20093,Alissa,Hall,576
20094,Dexter,Barnes,329
20095,Cadie,Perry,227
20096,Kelvin,Johnston,563
20097,Rosie,Dixon,200
20098,Lucia,Warren,372
20099,Briony,Turner,962
20100,Spike,Craig,157
